"('NASCAR', 'Naruto')",9
"('Disney', 'Maltesers')",1
"('Football', 'Reggae')",20
"('Photography', 'Usher')",23
"('Journey', 'Pink')",33
"('FarmVille', 'Fergie')",561
"('Beer', 'Entourage')",11
"('Pizza', 'Summer')",44
"('Dexter', 'Drawing')",43
"('Secret', 'Taken')",32
"('GameStop', 'Mario')",1
"('YouTube', 'iCarly')",1877
"('NBA', 'iTunes')",1
"('Bones', 'Hancock')",1
"('Traveling', 'Watermelon')",7
"('Hooters', 'Secret')",2
"('Redbox', 'Sublime')",5
"('Disneyland', 'GameStop')",1
"('CNN', 'Reading')",3
"('Chocolate', 'Marvel')",1
"('Graffiti', 'Queen')",2
"('GoLikeUs', 'Rock')",1
"('Cars', 'iTunes')",1
"('Food', 'Shrek')",1
"('Converse', 'PopChat')",2
"('Glee', 'LuxDelux')",2
"('Monica', 'Reggae')",14
"('bebe', 'jcpenney')",79
"('Troy', 'Tubing')",202
"('Cars', 'Ronaldinho')",1
"('Budweiser', 'Everything')",4
"('Graffiti', 'Reading')",3
"('Twilight', 'UNO')",950
"('Australia', 'Pitbull')",1
"('HGTV', 'Rap')",1
"('MTV', 'Running')",4
"('Carhartt', 'Dexter')",5
"('Hunting', 'Nickelback')",15
"('Coldplay', 'LMFAO')",1
"('Taken', 'Zoosk')",5
"('Blues', 'Horoscopes')",1
"('Dove', 'JLS')",1
"('Travel', 'Tron')",173
"('CrowdStar', 'Drinking')",8
"('ChapStick', 'Chocolate')",1183
"('Everything', 'Singing')",1
"('Shrek', 'Singing')",1561
"('Rap', 'Volleyball')",9
"('Football', 'Fred')",1951
"('Pitbull', 'Sleeping')",6
"('CSI', 'Google')",2
"('Casino', 'Subway')",1
"('Usher', 'iTunes')",94
"('Facebook', 'Smiling')",3
"('Cuddling', 'Sports')",2
"('Fred', 'Puma')",1
"('BlackBerry', 'Bowling')",181
"('Kesha', 'Texting')",2
"('Maxwell', 'Money')",730
"('CSI', 'Halloween')",1
"('Tron', 'iPhone')",4
"('Traveling', 'YouTube')",122
"('GoLikeUs', 'Mojojojo')",1
"('Facebook', 'History')",216
"('Stewie', 'Tennis')",42
"('Jeep', 'LuxDelux')",4
"('Gucci', 'Kisses')",13
"('Boo', 'Friday')",2
"('Cooking', 'Dexter')",182
"('WWE', 'Weekend')",202
"('History', 'Kisses')",26
"('Nutella', 'PetVille')",123
"('Weeds', 'Xbox')",222
"('Family', 'MediaFire')",2
"('DORY', 'Dove')",16
"('Pink', 'Rock')",1240
"('Jesus', 'Titanic')",12
"('Evanescence', 'Friday')",20
"('Pink', 'Pop')",1417
"('Nelly', 'Walking')",1
"('Baseball', 'Soccer')",2
"('Slash', 'Sushi')",4
"('Scrubs', 'iPhone')",4
"('Pitbull', 'Transformers')",7
"('Zoosk', 'vitaminwater')",28
"('Kisses', 'Lifetime')",62
"('Target', 'Wipeout')",13
"('Monopoly', 'Naruto')",17
"('deadmau5', 'laughing')",161
"('Glee', 'Monica')",4
"('Fantasia', 'Gladiator')",4
"('God', 'Tron')",2
"('Charmed', 'Music')",4
"('Quotes', 'Sleeping')",50
"('Snickers', 'Travel')",9
"('Rain', 'Sade')",27
"('Soccer', 'Starbucks')",712
"('Cricket', 'Music')",58
"('Gardening', 'Jackass')",4
"('Softball', 'Traveling')",12
"('Spartacus', 'laughing')",6
"('Rihanna', 'Xbox')",13
"('Nike', 'Painting')",90
